doc_id,hawkish_hits,dovish_hits,net_tone,tone_group
8313,0,15,-15,dovish
8314,0,7,-7,dovish
8317,0,2,-2,dovish
8332,0,7,-7,dovish
8342,0,3,-3,dovish
8344,0,17,-17,dovish
8359,0,3,-3,dovish
8377,0,2,-2,dovish
8382,0,2,-2,dovish
8383,0,4,-4,dovish
8390,0,2,-2,dovish
8392,0,2,-2,dovish
8394,0,27,-27,dovish
8408,0,7,-7,dovish
8414,0,10,-10,dovish
8416,0,3,-3,dovish
8426,0,4,-4,dovish
8430,0,11,-11,dovish
8432,0,7,-7,dovish
8437,0,5,-5,dovish
8442,0,2,-2,dovish
8446,0,2,-2,dovish
8449,0,3,-3,dovish
8460,6,0,6,hawkish
8461,0,2,-2,dovish
8464,0,5,-5,dovish
8466,4,0,4,hawkish
8468,0,5,-5,dovish
8471,0,4,-4,dovish
8474,0,2,-2,dovish
8478,0,2,-2,dovish
8479,0,23,-23,dovish
8486,0,5,-5,dovish
8490,0,7,-7,dovish
8491,0,4,-4,dovish
8494,0,13,-13,dovish
8499,0,2,-2,dovish
8500,0,3,-3,dovish
8502,0,7,-7,dovish
8528,0,3,-3,dovish
8533,0,10,-10,dovish
8537,0,6,-6,dovish
8557,0,9,-9,dovish
8558,0,3,-3,dovish
8562,0,2,-2,dovish
8563,0,5,-5,dovish
8571,2,0,2,hawkish
8574,0,2,-2,dovish
8579,0,8,-8,dovish
8585,0,13,-13,dovish
8588,0,5,-5,dovish
8589,0,2,-2,dovish
8595,0,2,-2,dovish
8598,0,3,-3,dovish
8601,0,14,-14,dovish
8602,0,4,-4,dovish
8607,0,7,-7,dovish
8609,2,0,2,hawkish
8621,0,3,-3,dovish
8634,0,19,-19,dovish
8635,0,13,-13,dovish
8644,0,6,-6,dovish
8646,0,4,-4,dovish
8651,0,2,-2,dovish
8654,0,2,-2,dovish
8659,0,18,-18,dovish
8663,0,3,-3,dovish
8665,0,19,-19,dovish
8669,0,3,-3,dovish
8670,0,2,-2,dovish
8677,5,0,5,hawkish
8679,0,2,-2,dovish
8680,0,3,-3,dovish
8681,0,2,-2,dovish
8688,0,22,-22,dovish
8691,0,2,-2,dovish
8692,0,12,-12,dovish
8696,0,13,-13,dovish
8700,0,3,-3,dovish
8708,0,6,-6,dovish
8710,0,6,-6,dovish
8711,0,7,-7,dovish
8713,0,2,-2,dovish
8717,0,6,-6,dovish
8719,3,0,3,hawkish
8724,0,21,-21,dovish
8739,0,5,-5,dovish
8740,0,9,-9,dovish
8745,3,0,3,hawkish
8747,2,0,2,hawkish
8751,3,0,3,hawkish
8758,0,3,-3,dovish
8760,0,4,-4,dovish
8763,0,6,-6,dovish
8768,0,10,-10,dovish
8776,0,5,-5,dovish
8787,0,2,-2,dovish
8793,0,8,-8,dovish
8799,0,3,-3,dovish
8802,0,7,-7,dovish
8805,0,5,-5,dovish
8807,0,6,-6,dovish
8815,0,28,-28,dovish
8818,0,16,-16,dovish
8822,0,2,-2,dovish
8826,0,2,-2,dovish
8831,0,8,-8,dovish
8836,0,2,-2,dovish
8837,0,3,-3,dovish
8838,0,3,-3,dovish
8842,0,9,-9,dovish
8844,0,3,-3,dovish
8849,0,12,-12,dovish
8859,0,7,-7,dovish
8870,0,8,-8,dovish
8887,0,7,-7,dovish
8894,0,5,-5,dovish
8895,0,3,-3,dovish
8901,0,4,-4,dovish
8914,0,2,-2,dovish
8922,0,4,-4,dovish
8925,0,2,-2,dovish
8929,0,6,-6,dovish
8933,0,33,-33,dovish
8935,0,3,-3,dovish
8950,0,13,-13,dovish
8955,0,2,-2,dovish
8957,0,5,-5,dovish
8963,0,2,-2,dovish
8964,0,3,-3,dovish
8965,0,5,-5,dovish
8966,0,2,-2,dovish
8968,0,2,-2,dovish
8969,0,4,-4,dovish
8971,0,8,-8,dovish
8974,0,2,-2,dovish
8987,0,8,-8,dovish
9012,0,2,-2,dovish
9015,0,2,-2,dovish
9021,0,2,-2,dovish
9026,0,2,-2,dovish
9030,0,6,-6,dovish
9033,0,2,-2,dovish
9037,0,2,-2,dovish
9038,0,14,-14,dovish
9039,0,5,-5,dovish
9043,0,6,-6,dovish
9050,0,3,-3,dovish
9051,0,3,-3,dovish
9062,0,25,-25,dovish
9066,0,3,-3,dovish
9067,0,2,-2,dovish
9074,2,0,2,hawkish
9075,2,0,2,hawkish
9077,0,2,-2,dovish
9079,0,15,-15,dovish
9081,0,18,-18,dovish
9083,0,2,-2,dovish
9089,0,2,-2,dovish
9090,0,2,-2,dovish
9114,0,5,-5,dovish
9115,0,3,-3,dovish
9119,0,8,-8,dovish
9124,0,2,-2,dovish
9125,0,4,-4,dovish
9127,0,8,-8,dovish
9145,3,0,3,hawkish
9162,0,2,-2,dovish
9178,0,5,-5,dovish
9184,0,4,-4,dovish
9187,0,9,-9,dovish
9190,0,18,-18,dovish
9201,0,2,-2,dovish
9202,0,3,-3,dovish
9206,0,3,-3,dovish
9219,0,10,-10,dovish
9226,0,2,-2,dovish
9228,2,0,2,hawkish
9232,0,4,-4,dovish
9239,0,5,-5,dovish
9241,0,10,-10,dovish
9242,2,0,2,hawkish
9243,0,5,-5,dovish
9247,0,3,-3,dovish
9252,0,3,-3,dovish
9255,0,2,-2,dovish
9280,0,2,-2,dovish
9286,2,0,2,hawkish
9305,0,5,-5,dovish
9311,0,2,-2,dovish
9323,0,11,-11,dovish
9326,0,12,-12,dovish
9327,2,0,2,hawkish
9331,0,2,-2,dovish
9335,0,6,-6,dovish
9344,0,2,-2,dovish
9345,0,2,-2,dovish
9347,0,5,-5,dovish
9357,0,2,-2,dovish
9373,0,3,-3,dovish
9379,0,12,-12,dovish
9386,0,8,-8,dovish
9394,0,7,-7,dovish
9400,0,3,-3,dovish
9404,3,0,3,hawkish
9406,0,3,-3,dovish
9410,0,14,-14,dovish
9412,3,0,3,hawkish
9419,2,0,2,hawkish
9420,0,3,-3,dovish
9430,0,5,-5,dovish
9437,0,5,-5,dovish
9442,0,4,-4,dovish
9461,0,2,-2,dovish
9465,0,2,-2,dovish
9468,0,9,-9,dovish
9469,0,3,-3,dovish
9473,0,2,-2,dovish
9476,0,2,-2,dovish
9477,0,4,-4,dovish
9479,0,2,-2,dovish
9487,0,5,-5,dovish
9492,0,3,-3,dovish
9503,0,2,-2,dovish
9505,0,2,-2,dovish
9508,0,3,-3,dovish
9512,0,10,-10,dovish
9514,0,9,-9,dovish
9515,0,5,-5,dovish
9522,0,5,-5,dovish
9525,0,2,-2,dovish
9528,0,2,-2,dovish
9530,0,3,-3,dovish
9532,0,9,-9,dovish
9543,0,2,-2,dovish
9547,0,2,-2,dovish
9553,0,3,-3,dovish
9563,0,4,-4,dovish
9566,0,3,-3,dovish
9568,0,2,-2,dovish
9573,0,4,-4,dovish
9574,0,8,-8,dovish
9576,0,2,-2,dovish
9589,0,2,-2,dovish
9597,0,2,-2,dovish
9606,0,2,-2,dovish
9612,0,14,-14,dovish
9618,0,3,-3,dovish
9619,0,2,-2,dovish
9623,0,3,-3,dovish
9625,0,5,-5,dovish
9634,2,0,2,hawkish
9641,0,5,-5,dovish
9647,0,4,-4,dovish
9658,2,0,2,hawkish
9665,0,2,-2,dovish
9666,0,5,-5,dovish
9667,0,2,-2,dovish
9682,0,2,-2,dovish
9686,0,10,-10,dovish
9687,0,10,-10,dovish
9689,0,2,-2,dovish
9696,0,7,-7,dovish
9705,0,2,-2,dovish
9707,0,5,-5,dovish
9715,0,2,-2,dovish
9717,0,8,-8,dovish
9718,0,2,-2,dovish
9725,2,0,2,hawkish
9726,0,12,-12,dovish
9728,0,3,-3,dovish
9742,0,21,-21,dovish
9744,0,2,-2,dovish
9746,0,11,-11,dovish
9748,0,6,-6,dovish
9757,0,2,-2,dovish
9764,0,2,-2,dovish
9779,0,5,-5,dovish
9782,0,5,-5,dovish
9790,0,9,-9,dovish
9793,0,2,-2,dovish
9797,0,3,-3,dovish
9798,2,0,2,hawkish
9805,0,4,-4,dovish
9809,0,5,-5,dovish
9812,0,4,-4,dovish
9814,0,5,-5,dovish
9818,0,9,-9,dovish
9819,0,6,-6,dovish
9820,0,14,-14,dovish
9824,0,9,-9,dovish
9829,0,6,-6,dovish
9830,0,5,-5,dovish
9832,0,3,-3,dovish
9843,0,4,-4,dovish
9850,0,2,-2,dovish
9853,0,3,-3,dovish
9860,0,3,-3,dovish
9868,2,0,2,hawkish
9872,2,0,2,hawkish
9881,0,2,-2,dovish
9882,0,3,-3,dovish
9896,0,2,-2,dovish
9897,0,7,-7,dovish
9899,0,5,-5,dovish
9906,0,2,-2,dovish
9912,0,9,-9,dovish
9922,0,5,-5,dovish
9929,0,2,-2,dovish
9940,0,2,-2,dovish
9941,0,3,-3,dovish
9944,0,13,-13,dovish
9953,3,0,3,hawkish
9963,0,7,-7,dovish
9973,0,4,-4,dovish
9977,0,2,-2,dovish
9978,0,3,-3,dovish
9981,0,2,-2,dovish
9986,0,5,-5,dovish
9998,0,2,-2,dovish
