tone_group,stem,n,tf,idf,tf_idf,example_word,example_word_freq,doc_freq
dovish,lower,3586,0.0016778656949456752,0.6931471805599453,0.001163007875809848,lower,22728,7285
dovish,weak,1527,7.144732058511005e-4,0.6931471805599453,4.952350882213157e-4,weak,5921,4607
dovish,eas,1308,6.120045535384671e-4,0.6931471805599453,4.2420923077503655e-4,easing,9799,4083
dovish,cut,923,4.31865598559637e-4,0.6931471805599453,2.9934642202244556e-4,cut,3660,3228
dovish,accommod,568,2.657634452674689e-4,0.6931471805599453,1.8421318278304341e-4,accommodative,3280,2864
dovish,slowdown,502,2.348824815568123e-4,0.6931471805599453,1.628081298540278e-4,slowdown,5045,2256
dovish,stimulus,369,1.7265266074594372e-4,0.6931471805599453,1.1967370501222363e-4,stimulus,4093,1912
dovish,rupiah,165,7.72024092766415e-5,0.6931471805599453,5.351263232253903e-5,rupiah,944,116
dovish,chap,152,7.111979521242126e-5,0.6931471805599453,4.929648553349049e-5,chaps,334,68
dovish,slack,136,6.363350097953481e-5,0.6931471805599453,4.410738179312307e-5,slack,2302,935
dovish,cic,122,5.708299352575917e-5,0.6931471805599453,3.9566916020301577e-5,cics,182,22
dovish,mbs,87,4.0706724891320065e-5,0.6931471805599453,2.821575158824785e-5,mbs,465,122
dovish,rpix,86,4.023883150176466e-5,0.6931471805599453,2.7891432604474884e-5,rpix,493,115
dovish,liu,78,3.6495684385321434e-5,0.6931471805599453,2.529688073429117e-5,liu,178,59
dovish,pcr,78,3.6495684385321434e-5,0.6931471805599453,2.529688073429117e-5,pcr,140,16
dovish,cdfis,77,3.602779099576603e-5,0.6931471805599453,2.4972561750518207e-5,cdfis,200,33
dovish,sharia,72,3.368832404798902e-5,0.6931471805599453,2.335096683165339e-5,sharia,469,47
dovish,qqe,71,3.3220430658433614e-5,0.6931471805599453,2.3026647847880427e-5,qqe,2703,291
dovish,csds,67,3.1348857100212004e-5,0.6931471805599453,2.1729371912788572e-5,csds,195,54
dovish,trilemma,67,3.1348857100212004e-5,0.6931471805599453,2.1729371912788572e-5,trilemma,344,120
dovish,taper,65,3.0413070321101198e-5,0.6931471805599453,2.1080733945242646e-5,tapering,389,351
dovish,mse,59,2.7605709983768778e-5,0.6931471805599453,1.9134820042604863e-5,mse,145,31
dovish,ytl,59,2.7605709983768778e-5,0.6931471805599453,1.9134820042604863e-5,ytl,178,24
dovish,jul,58,2.7137816594213376e-5,0.6931471805599453,1.8810501058831898e-5,jul,718,167
dovish,ama,57,2.6669923204657973e-5,0.6931471805599453,1.8486182075058934e-5,ama,148,30
dovish,fukui,54,2.5266243035991765e-5,0.6931471805599453,1.7513225123740043e-5,fukui,159,82
dovish,toshihiko,53,2.4798349646436362e-5,0.6931471805599453,1.718890613996708e-5,toshihiko,144,77
dovish,registri,52,2.4330456256880956e-5,0.6931471805599453,1.6864587156194114e-5,registry,172,77
dovish,ccil,50,2.339466947777015e-5,0.6931471805599453,1.621594918864819e-5,ccil,249,72
dovish,superannu,50,2.339466947777015e-5,0.6931471805599453,1.621594918864819e-5,superannuation,138,62
dovish,cdfi,48,2.2458882698659345e-5,0.6931471805599453,1.556731122110226e-5,cdfi,115,25
dovish,fmis,48,2.2458882698659345e-5,0.6931471805599453,1.556731122110226e-5,fmis,287,67
dovish,fig,47,2.1990989309103942e-5,0.6931471805599453,1.5242992237329297e-5,fig,134,24
dovish,nds,47,2.1990989309103942e-5,0.6931471805599453,1.5242992237329297e-5,nds,192,52
dovish,percentil,47,2.1990989309103942e-5,0.6931471805599453,1.5242992237329297e-5,percentile,234,111
dovish,sadc,47,2.1990989309103942e-5,0.6931471805599453,1.5242992237329297e-5,sadc,336,66
dovish,fisher,46,2.152309591954854e-5,0.6931471805599453,1.4918673253556332e-5,fisher,474,257
dovish,cgs,45,2.1055202529993137e-5,0.6931471805599453,1.459435426978337e-5,cgs,56,14
dovish,gst,45,2.1055202529993137e-5,0.6931471805599453,1.459435426978337e-5,gst,156,67
dovish,lcbos,44,2.0587309140437734e-5,0.6931471805599453,1.4270035286010407e-5,lcbos,70,14
dovish,lpr,44,2.0587309140437734e-5,0.6931471805599453,1.4270035286010407e-5,lpr,84,20
dovish,mses,44,2.0587309140437734e-5,0.6931471805599453,1.4270035286010407e-5,mses,87,27
dovish,npci,44,2.0587309140437734e-5,0.6931471805599453,1.4270035286010407e-5,npci,139,43
dovish,rrr,42,1.965152236132693e-5,0.6931471805599453,1.362139731846448e-5,rrr,59,23
dovish,unbundl,42,1.965152236132693e-5,0.6931471805599453,1.362139731846448e-5,unbundling,121,129
dovish,fls,41,1.9183628971771522e-5,0.6931471805599453,1.3297078334691513e-5,fls,145,30
dovish,ibc,41,1.9183628971771522e-5,0.6931471805599453,1.3297078334691513e-5,ibc,130,24
dovish,solow,41,1.9183628971771522e-5,0.6931471805599453,1.3297078334691513e-5,solow,187,99
dovish,psps,40,1.871573558221612e-5,0.6931471805599453,1.2972759350918549e-5,psps,137,24
dovish,bureaus,39,1.8247842192660717e-5,0.6931471805599453,1.2648440367145586e-5,bureaus,122,65
dovish,fhcs,39,1.8247842192660717e-5,0.6931471805599453,1.2648440367145586e-5,fhcs,130,12
